asset_id,chapter,asset_type,title,source_path,status,next_action
fig-08-01,08,diagram,系统分层接口图,assets/diagrams/08-系统分层接口图.mmd,已建源文件并已挂正文,后续可评估是否转高保真图
fig-09-01,09,diagram,感知到动作的状态漏斗图,assets/diagrams/09-感知到动作的状态漏斗图.mmd,已建源文件,继续复核正文说明
fig-10-01,10,diagram,世界模型关系图,assets/diagrams/10-世界模型关系图.mmd,已建源文件,继续复核正文说明
fig-11-01,11,diagram,VLA统一接口图,assets/diagrams/11-VLA统一接口图.mmd,已建源文件并已挂正文,后续可扩成模型对照图
fig-14-01,14,diagram,sim2real失效模式图,assets/diagrams/14-sim2real失效模式图.mmd,已建源文件并已挂正文,后续可配评测矩阵
fig-15-01,15,diagram,部署系统栈图,assets/diagrams/15-部署系统栈图.mmd,已建源文件并已挂正文,后续可扩成部署对照图
fig-18-01,18,diagram,论文谱系时间线图,assets/diagrams/18-论文谱系时间线图.mmd,已建源文件,后续补数据源映射
fig-20-01,20,diagram,企业分析流程图,assets/diagrams/20-企业分析流程图.mmd,已建源文件,后续复核正文挂载
fig-21-01,21,diagram,海外企业五支点图,assets/diagrams/21-海外企业五支点图.mmd,已建源文件并已挂正文,后续扩企业对照图
fig-23-01,23,diagram,商业化筛选流程图,assets/diagrams/23-商业化筛选流程图.mmd,已建源文件并已挂正文,后续配案例对照
fig-24-01,24,diagram,产业信号过滤图,assets/diagrams/24-产业信号过滤图.mmd,已建源文件,后续复核正文挂载
fig-25-01,25,diagram,判断框架五维图,assets/diagrams/25-判断框架五维图.mmd,已建源文件,后续补说明与复核
fig-26-01,26,diagram,版本更新节律图,assets/diagrams/26-版本更新节律图.mmd,已建源文件,后续复核正文挂载
tbl-14-01,14,table,评测指标分层表,docs/report/current/tables/14-评测指标分层表.md,已建表格并已正文引用,后续可脚本化输出
tbl-17-01,17,table,任务恢复模式表,docs/report/current/tables/17-任务恢复模式表.md,已建表格,继续回挂正文
tbl-18-01,18,table,论文谱系字段表,docs/report/current/tables/18-论文谱系字段表.md,已建表格,继续回挂正文
tbl-18-02,18,table,论文谱系时间线表,docs/report/current/tables/18-论文谱系时间线表.md,已建表格并已正文引用,后续可脚本化时间线输出
tbl-19-01,19,table,开源生态四层对照表,docs/report/current/tables/19-开源生态四层对照表.md,已建表格,继续回挂正文
tbl-19-02,19,table,代表性开源项目对照表,docs/report/current/tables/19-代表性开源项目对照表.md,已建表格并已正文引用,后续补项目增量日志
tbl-20-01,20,table,企业统一分析模板,docs/report/current/tables/20-企业统一分析模板.md,已建表格,继续回挂正文
tbl-20-02,20,table,企业季度跟踪表模板,docs/report/current/tables/20-企业季度跟踪表模板.md,已建表格,后续配季度更新日志
tbl-21-01,21,table,海外重点企业路线对照表,docs/report/current/tables/21-海外重点企业路线对照表.md,已建表格并已正文引用,后续补国内对应表
tbl-22-01,22,table,国内重点企业路线对照表,docs/report/current/tables/22-国内重点企业路线对照表.md,已建表格并已正文引用,后续补案例分层
tbl-23-01,23,table,典型场景任务单元对照表,docs/report/current/tables/23-典型场景任务单元对照表.md,已建表格并已正文引用,后续扩案例映射
tbl-23-02,23,table,场景ROI粗估模板,docs/report/current/tables/23-场景ROI粗估模板.md,已建表格并已正文引用,后续补真实案例数值
tbl-24-01,24,table,产业信号分类表,docs/report/current/tables/24-产业信号分类表.md,已建表格并已正文引用,后续补信号日志模板
tbl-24-02,24,table,产业信号日志模板,docs/report/current/tables/24-产业信号日志模板.md,已建表格并已正文引用,后续与月更季更日志联动
tbl-26-01,26,table,版本更新节律与动作模板,docs/report/current/tables/26-版本更新节律与动作模板.md,已建表格并已正文引用,后续与更新日志联动
