company_name,region,body_focus,model_focus,data_focus,platform_or_sim_focus,deployment_focus,current_main_risk,updated_at,notes
Google DeepMind,overseas,strong,strong,medium,medium,strong,研究强但交付弱,2026-06-30,基于正文与当前表格整理的初版结构化底稿
NVIDIA,overseas,strong,medium,medium,strong,medium,平台强但不直接定义单体机器人能力,2026-06-30,后续可继续细化为 Isaac/GR00T/部署栈多字段
Figure,overseas,strong,strong,medium,medium,medium,交付闭环仍待验证,2026-06-30,后续应补客户与部署证据
Physical Intelligence,overseas,strong,strong,medium,strong,strong,概念与系统落地之间仍有距离,2026-06-30,后续应补论文与产品化进展
Tesla Optimus,overseas,strong,medium,strong,medium,medium,机器人闭环能否真正承接自动驾驶与制造能力,2026-06-30,后续应补工厂内部部署证据
Boston Dynamics,overseas,strong,medium,medium,medium,strong,高动态本体如何与新模型路线耦合,2026-06-30,后续应补高层智能接口变化
Agility,overseas,medium,medium,medium,strong,strong,场景扩张速度,2026-06-30,后续应补物流落地扩张证据
Apptronik,overseas,strong,medium,medium,strong,medium,平台成熟度能否快速转成交付,2026-06-30,后续应补量产与客户进展
1X,overseas,medium,medium,medium,strong,medium,服务场景商业闭环,2026-06-30,后续应补人机协作和服务路线证据
Sanctuary AI,overseas,medium,medium,medium,strong,medium,shared autonomy 的长期组织成本,2026-06-30,后续应补远程接管与交付案例
